Gene Name	Gene Start (bp)	Gene End (bp)	Chromosome Name	Strand
evm.TU.scaffold_1380.1	119886919	119911961	chr2	-1
evm.TU.scaffold_1380.12	120126373	120137344	chr2	1
evm.TU.scaffold_1380.13	120158995	120167117	chr2	1
evm.TU.scaffold_1380.14	120204862	120238125	chr2	-1
evm.TU.scaffold_1380.15	120253327	120255483	chr2	1
evm.TU.scaffold_1380.16	120264902	120266923	chr2	-1
evm.TU.scaffold_1380.17	120278574	120283965	chr2	1
evm.TU.scaffold_1380.18	120306511	120313795	chr2	1
evm.TU.scaffold_1380.19	120315404	120330423	chr2	-1
evm.TU.scaffold_1380.20	120356525	120358310	chr2	-1
evm.TU.scaffold_1380.21	120403523	120413265	chr2	1
evm.TU.scaffold_1380.2	119918143	119926800	chr2	-1
evm.TU.scaffold_1380.22	120410016	120411218	chr2	-1
evm.TU.scaffold_1380.24	120422149	120422478	chr2	1
evm.TU.scaffold_1380.25	120476617	120491162	chr2	1
evm.TU.scaffold_1380.26	120498354	120540030	chr2	1
evm.TU.scaffold_1380.27	120541104	120545906	chr2	-1
evm.TU.scaffold_1380.29	120643744	120649926	chr2	1
evm.TU.scaffold_1380.30	120654984	120667885	chr2	1
evm.TU.scaffold_1380.31	120669539	120672054	chr2	1
evm.TU.scaffold_1380.3	119958456	119959917	chr2	-1
evm.TU.scaffold_1380.32	120694335	120700335	chr2	-1
evm.TU.scaffold_1380.33	120716462	120718700	chr2	1
evm.TU.scaffold_1380.34	120723019	120730267	chr2	1
evm.TU.scaffold_1380.35	120732733	120734097	chr2	-1
evm.TU.scaffold_1380.36	120734193	120766314	chr2	-1
evm.TU.scaffold_1380.37	120769675	120773277	chr2	-1
evm.TU.scaffold_1380.38	120842751	120842931	chr2	-1
evm.TU.scaffold_1380.39	120843479	120844918	chr2	-1
evm.TU.scaffold_1380.40	120859055	120859513	chr2	1
evm.TU.scaffold_1380.41	120860294	120861969	chr2	1
evm.TU.scaffold_1380.4	119960014	119962292	chr2	-1
evm.TU.scaffold_1380.42	120902254	120902787	chr2	-1
evm.TU.scaffold_1380.5	119984040	119994682	chr2	-1
evm.TU.scaffold_1380.6	120019765	120022041	chr2	-1
evm.TU.scaffold_1380.7	120046958	120062224	chr2	-1
evm.TU.scaffold_1380.8	120072177	120073026	chr2	1
evm.TU.scaffold_1380.9	120074813	120097017	chr2	1
evm.TU.scaffold_1381.1	13387	29747	original_scaffold_1381	1
evm.TU.scaffold_1381.2	67612	69654	original_scaffold_1381	1
evm.TU.scaffold_1381.3	169695	176543	original_scaffold_1381	1
evm.TU.scaffold_1381.4	215553	217406	original_scaffold_1381	-1
evm.TU.scaffold_1382.1	64202886	64204803	chr2	1
evm.TU.scaffold_1383.10	44590755	44591675	chr10	-1
evm.TU.scaffold_1383.11	44555700	44556059	chr10	1
evm.TU.scaffold_1383.12	44538346	44539650	chr10	-1
evm.TU.scaffold_1383.1	44752811	44759063	chr10	1
evm.TU.scaffold_1383.23	44127768	44133110	chr10	1
evm.TU.scaffold_1383.24	44007255	44026412	chr10	-1
evm.TU.scaffold_1383.2	44743528	44752674	chr10	1
evm.TU.scaffold_1383.25	43984822	43985617	chr10	1
evm.TU.scaffold_1383.26	43878785	43897468	chr10	-1
evm.TU.scaffold_1383.27	43837240	43840528	chr10	1
evm.TU.scaffold_1383.28	43751010	43761438	chr10	1
evm.TU.scaffold_1383.29	43722976	43726468	chr10	1
evm.TU.scaffold_1383.31	43680438	43686335	chr10	1
evm.TU.scaffold_1383.32	43660867	43664709	chr10	1
evm.TU.scaffold_138.3	32439379	32439896	chr12	-1
evm.TU.scaffold_1383.33	43606387	43623268	chr10	-1
evm.TU.scaffold_1383.34	43525577	43535783	chr10	-1
evm.TU.scaffold_1383.35	43512791	43525378	chr10	-1
evm.TU.scaffold_1383.36	43493858	43508662	chr10	-1
evm.TU.scaffold_1383.37	43436223	43488570	chr10	1
evm.TU.scaffold_1383.38	43427250	43428593	chr10	-1
evm.TU.scaffold_1383.3_evm.TU.scaffold_1383.4	44688127	44709769	chr10	-1
evm.TU.scaffold_1383.5	44681103	44682643	chr10	1
evm.TU.scaffold_1383.8	44631495	44638293	chr10	1
evm.TU.scaffold_1383.9	44620427	44621128	chr10	-1
evm.TU.scaffold_1384.1	82178	86890	original_scaffold_1384	1
evm.TU.scaffold_1384.2	111143	116202	original_scaffold_1384	1
evm.TU.scaffold_138.5	31871228	31884133	chr12	-1
evm.TU.scaffold_1386.1	63903683	63908394	chr1	-1
evm.TU.scaffold_1386.2	63809003	63814689	chr1	1
evm.TU.scaffold_138.6	31587879	31727264	chr12	1
evm.TU.scaffold_1387.10	38625342	38636340	chr12	1
evm.TU.scaffold_1387.11	38680772	38681715	chr12	-1
evm.TU.scaffold_1387.1	37906130	37906410	chr12	1
evm.TU.scaffold_1387.2	37908517	37908740	chr12	-1
evm.TU.scaffold_1387.3	37909637	37914064	chr12	-1
evm.TU.scaffold_1387.5	38287694	38288309	chr12	1
evm.TU.scaffold_1387.6	38291704	38293004	chr12	-1
evm.TU.scaffold_1387.7	38460407	38460714	chr12	-1
evm.TU.scaffold_1387.8	38594634	38598389	chr12	-1
evm.TU.scaffold_1387.9	38609727	38623992	chr12	1
evm.TU.scaffold_1388.3	100466	102328	original_scaffold_1388	1
evm.TU.scaffold_1390.2	35380	40817	original_scaffold_1390	1
evm.TU.scaffold_1390.3	41178	41933	original_scaffold_1390	1
evm.TU.scaffold_1390.4	43679	45562	original_scaffold_1390	1
evm.TU.scaffold_1391.1	16405958	16411026	chr8	-1
evm.TU.scaffold_1391.2	16478766	16479734	chr8	1
evm.TU.scaffold_1391.3	16488561	16488757	chr8	-1
evm.TU.scaffold_1392.1	73943863	74004472	chr1	-1
evm.TU.scaffold_1393.1	33730982	33733769	chr12	-1
evm.TU.scaffold_1393.2	33604655	33729859	chr12	-1
evm.TU.scaffold_1393.4	33323340	33323735	chr12	-1
evm.TU.scaffold_1394.1	20337974	20358806	chr4	1
evm.TU.scaffold_1394.2	20295855	20320608	chr4	-1
evm.TU.scaffold_1394.3	20259708	20260302	chr4	1
evm.TU.scaffold_1394.4	20253668	20256865	chr4	1
evm.TU.scaffold_1394.5	20214591	20219480	chr4	-1
evm.TU.scaffold_1394.6	20209308	20209967	chr4	-1
evm.TU.scaffold_1394.7	20180351	20200274	chr4	1
evm.TU.scaffold_1394.8	20129695	20130051	chr4	1
evm.TU.scaffold_1394.9	19876923	19877862	chr4	1
evm.TU.scaffold_1395.1	59822	64286	original_scaffold_1395	1
evm.TU.scaffold_1395.2	65951	67073	original_scaffold_1395	-1
evm.TU.scaffold_1395.3	68015	75544	original_scaffold_1395	-1
evm.TU.scaffold_1395.4	73825	74157	original_scaffold_1395	1
evm.TU.scaffold_1395.5	74167	74448	original_scaffold_1395	1
evm.TU.scaffold_1395.6	80353	84805	original_scaffold_1395	-1
evm.TU.scaffold_1395.7	98693	118839	original_scaffold_1395	-1
evm.TU.scaffold_1395.8	222	1956	original_scaffold_1395	-1
evm.TU.scaffold_1397.1	56793631	56796982	chr11	-1
evm.TU.scaffold_1397.2	56800249	56812607	chr11	-1
evm.TU.scaffold_1399.10	116958483	116961524	chr3	-1
evm.TU.scaffold_1399.1	116574925	116577111	chr3	1
evm.TU.scaffold_1399.4	116699499	116700377	chr3	1
evm.TU.scaffold_1399.5	116784546	116784701	chr3	1
evm.TU.scaffold_1399.6	116784904	116785837	chr3	1
evm.TU.scaffold_1399.7	116817978	116820358	chr3	1
evm.TU.scaffold_1399.8	116852764	116853482	chr3	1
evm.TU.scaffold_1399.9	116889197	116905932	chr3	-1
evm.TU.scaffold_1400.11	171296	177301	original_scaffold_1400	1
evm.TU.scaffold_1400.1	1235	10331	original_scaffold_1400	1
evm.TU.scaffold_1400.12	178480	180497	original_scaffold_1400	-1
evm.TU.scaffold_1400.14	211060	212188	original_scaffold_1400	1
evm.TU.scaffold_1400.15	212552	212892	original_scaffold_1400	1
evm.TU.scaffold_1400.16	213689	214908	original_scaffold_1400	1
evm.TU.scaffold_1400.8	138049	140108	original_scaffold_1400	-1
evm.TU.scaffold_1400.9	140312	141156	original_scaffold_1400	1
evm.TU.scaffold_1401.10	301803	324712	original_scaffold_1401	1
evm.TU.scaffold_1401.11	340083	348281	original_scaffold_1401	1
evm.TU.scaffold_1401.1	17534	21952	original_scaffold_1401	1
evm.TU.scaffold_1401.12	349667	353527	original_scaffold_1401	-1
evm.TU.scaffold_1401.13	353999	359866	original_scaffold_1401	-1
evm.TU.scaffold_1401.14	360363	370708	original_scaffold_1401	-1
evm.TU.scaffold_1401.2	24380	38660	original_scaffold_1401	1
evm.TU.scaffold_1401.3	41999	45849	original_scaffold_1401	1
evm.TU.scaffold_1401.4	47233	55469	original_scaffold_1401	-1
evm.TU.scaffold_1401.5	88963	108478	original_scaffold_1401	-1
evm.TU.scaffold_1401.6	119221	121151	original_scaffold_1401	1
evm.TU.scaffold_1401.7	188914	210484	original_scaffold_1401	1
evm.TU.scaffold_1401.8	229253	244115	original_scaffold_1401	-1
evm.TU.scaffold_1401.9	286773	288692	original_scaffold_1401	-1
evm.TU.scaffold_140.2	153553	154487	fragScaff_scaffold_140	-1
evm.TU.scaffold_1402.3	29284602	29285113	chr8	1
evm.TU.scaffold_1404.10	90059103	90059772	chr4	1
evm.TU.scaffold_1404.11	90040127	90040845	chr4	1
evm.TU.scaffold_1404.12	89987862	90032721	chr4	1
evm.TU.scaffold_1404.13	89984135	89985321	chr4	1
evm.TU.scaffold_1404.14	89980736	89982012	chr4	1
evm.TU.scaffold_1404.15	89967059	89978858	chr4	1
evm.TU.scaffold_1404.16	89929413	89938033	chr4	-1
evm.TU.scaffold_1404.17	89926548	89928000	chr4	-1
evm.TU.scaffold_1404.18	89920125	89926336	chr4	1
evm.TU.scaffold_1404.1	90219907	90220779	chr4	-1
evm.TU.scaffold_1404.19	89906938	89913522	chr4	-1
evm.TU.scaffold_1404.21	89890385	89892991	chr4	1
evm.TU.scaffold_1404.22	89818901	89841320	chr4	-1
evm.TU.scaffold_1404.23	89781467	89787347	chr4	-1
evm.TU.scaffold_1404.24	89752188	89763555	chr4	-1
evm.TU.scaffold_1404.25	89742299	89743433	chr4	-1
evm.TU.scaffold_1404.26	89693556	89703302	chr4	-1
evm.TU.scaffold_1404.27	89692140	89693051	chr4	-1
evm.TU.scaffold_1404.28	89603604	89604520	chr4	1
evm.TU.scaffold_1404.2	90210735	90211621	chr4	1
evm.TU.scaffold_1404.30	89523977	89574707	chr4	-1
evm.TU.scaffold_1404.31	89512879	89519597	chr4	-1
evm.TU.scaffold_1404.32	89471610	89478077	chr4	1
evm.TU.scaffold_1404.33	89449238	89467584	chr4	-1
evm.TU.scaffold_1404.34	89433691	89441170	chr4	1
evm.TU.scaffold_1404.35	89395911	89412997	chr4	-1
evm.TU.scaffold_1404.36	89376772	89391069	chr4	-1
evm.TU.scaffold_1404.38	89316590	89321298	chr4	1
evm.TU.scaffold_1404.3	90181838	90188906	chr4	-1
evm.TU.scaffold_1404.39	89280153	89281723	chr4	-1
evm.TU.scaffold_1404.40	89249318	89257996	chr4	-1
evm.TU.scaffold_1404.41	89235264	89237598	chr4	1
evm.TU.scaffold_1404.43	89190548	89196976	chr4	1
evm.TU.scaffold_1404.44	89168021	89174142	chr4	1
evm.TU.scaffold_1404.45	89114227	89116724	chr4	-1
evm.TU.scaffold_1404.46	89103956	89107060	chr4	1
evm.TU.scaffold_1404.47	89025185	89027480	chr4	-1
evm.TU.scaffold_1404.48_evm.TU.scaffold_1404.49	88996036	88997116	chr4	-1
evm.TU.scaffold_1404.4	90158071	90166596	chr4	-1
evm.TU.scaffold_1404.50	88965341	88972819	chr4	-1
evm.TU.scaffold_1404.51	88960726	88961760	chr4	-1
evm.TU.scaffold_1404.6	90125006	90126224	chr4	1
evm.TU.scaffold_1404.7	90119114	90124139	chr4	1
evm.TU.scaffold_1404.8	90097776	90104125	chr4	1
evm.TU.scaffold_1404.9	90067950	90068417	chr4	-1
evm.TU.scaffold_1405.4	65397	66857	original_scaffold_1405	1
evm.TU.scaffold_1405.6	105923	110898	original_scaffold_1405	1
evm.TU.scaffold_1406.1	8342	8767	original_scaffold_1406	1
evm.TU.scaffold_1409.1	27703270	27715048	chr10	-1
evm.TU.scaffold_1409.2	27715060	27724066	chr10	-1
evm.TU.scaffold_1409.3	27932117	27957394	chr10	1
evm.TU.scaffold_1409.4	28375414	28381880	chr10	-1
evm.TU.scaffold_1409.5	28447775	28448593	chr10	1
evm.TU.scaffold_1410.1	28141	28856	original_scaffold_1410	-1
evm.TU.scaffold_141.10	52739883	52740139	chr6	-1
evm.TU.scaffold_141.11	52792158	52795513	chr6	1
evm.TU.scaffold_1411.2	119953124	119953870	chr3	-1
evm.TU.scaffold_141.12	52800720	52816581	chr6	-1
evm.TU.scaffold_141.13	52820194	52820525	chr6	-1
evm.TU.scaffold_141.14	52836500	52887872	chr6	1
evm.TU.scaffold_141.1	52383114	52393220	chr6	-1
evm.TU.scaffold_141.15	53207307	53209294	chr6	1
evm.TU.scaffold_141.16	53269054	53271015	chr6	1
evm.TU.scaffold_141.17	53401498	53404353	chr6	1
evm.TU.scaffold_1412.10	24079351	24089206	chr10	1
evm.TU.scaffold_1412.11	24097662	24113650	chr10	1
evm.TU.scaffold_1412.12	24129858	24136595	chr10	1
evm.TU.scaffold_1412.1	23482493	23493689	chr10	1
evm.TU.scaffold_1412.13	24145354	24146461	chr10	-1
evm.TU.scaffold_1412.14	24149489	24150526	chr10	-1
evm.TU.scaffold_1412.15	24170613	24209398	chr10	-1
evm.TU.scaffold_1412.16	24294868	24295718	chr10	-1
evm.TU.scaffold_1412.18	24400355	24402787	chr10	1
evm.TU.scaffold_1412.19	24430471	24434008	chr10	1
evm.TU.scaffold_1412.21	24712513	24712780	chr10	1
evm.TU.scaffold_1412.22	24715024	24716266	chr10	1
evm.TU.scaffold_1412.2	23557401	23557745	chr10	1
evm.TU.scaffold_1412.23	24730768	24759149	chr10	1
evm.TU.scaffold_1412.25	25098536	25099973	chr10	1
evm.TU.scaffold_1412.26	25107869	25111979	chr10	-1
evm.TU.scaffold_1412.27	25187256	25193377	chr10	-1
evm.TU.scaffold_1412.28	25241893	25247852	chr10	1
evm.TU.scaffold_1412.29	25266790	25277348	chr10	1
evm.TU.scaffold_1412.30	25324006	25339675	chr10	-1
evm.TU.scaffold_1412.31	25342228	25361739	chr10	1
evm.TU.scaffold_1412.32	25396307	25401906	chr10	1
evm.TU.scaffold_1412.3	23584498	23590347	chr10	1
evm.TU.scaffold_1412.33	25432750	25582108	chr10	1
evm.TU.scaffold_1412.34	25706394	25708835	chr10	-1
evm.TU.scaffold_1412.36	25836682	25845705	chr10	-1
evm.TU.scaffold_1412.37	25985151	25987184	chr10	-1
evm.TU.scaffold_1412.39	26175973	26183853	chr10	-1
evm.TU.scaffold_1412.40	26229141	26233368	chr10	-1
evm.TU.scaffold_1412.4	23630944	23711904	chr10	1
evm.TU.scaffold_1412.5	23780903	23788219	chr10	-1
evm.TU.scaffold_141.2	52394192	52397177	chr6	-1
evm.TU.scaffold_1412.6	23889224	23938025	chr10	1
evm.TU.scaffold_1412.7	23952871	23996816	chr10	1
evm.TU.scaffold_1412.8	24038364	24039225	chr10	1
evm.TU.scaffold_1413.11	10770352	10778020	chr4	-1
evm.TU.scaffold_1413.12	10779427	10781019	chr4	1
evm.TU.scaffold_1413.13	10786333	10788680	chr4	-1
evm.TU.scaffold_1413.14	10795686	10825709	chr4	-1
evm.TU.scaffold_1413.15	10831803	10847987	chr4	-1
evm.TU.scaffold_1413.16	10866014	10868847	chr4	-1
evm.TU.scaffold_1413.20	10926928	10929467	chr4	1
evm.TU.scaffold_1413.21	10972350	10997366	chr4	1
evm.TU.scaffold_1413.22	11005042	11010500	chr4	1
evm.TU.scaffold_1413.23	11025780	11026985	chr4	-1
evm.TU.scaffold_1413.24	11027109	11031303	chr4	-1
evm.TU.scaffold_1413.25	11036576	11039398	chr4	-1
evm.TU.scaffold_1413.26	11054949	11069202	chr4	-1
evm.TU.scaffold_1413.4	10589975	10594307	chr4	-1
evm.TU.scaffold_14.1	34526	49608	fragScaff_scaffold_14	1
evm.TU.scaffold_141.3	52422328	52430659	chr6	-1
evm.TU.scaffold_1413.7	10647449	10648586	chr4	1
evm.TU.scaffold_1414.12	342035	353473	original_scaffold_1414	1
evm.TU.scaffold_1414.3	125336	127272	original_scaffold_1414	1
evm.TU.scaffold_1414.4	129651	136069	original_scaffold_1414	-1
evm.TU.scaffold_1414.5	136077	144541	original_scaffold_1414	-1
evm.TU.scaffold_141.4	52458267	52459097	chr6	1
evm.TU.scaffold_1414.6	196709	196969	original_scaffold_1414	-1
evm.TU.scaffold_1414.7	197581	199516	original_scaffold_1414	1
evm.TU.scaffold_141.5	52471291	52479967	chr6	-1
evm.TU.scaffold_1416.1	1537	1701	original_scaffold_1416	1
evm.TU.scaffold_141.6	52487570	52509267	chr6	-1
evm.TU.scaffold_1417.1	26064	47401	original_scaffold_1417	-1
evm.TU.scaffold_1417.18	211480	231962	original_scaffold_1417	-1
evm.TU.scaffold_1417.25	272491	287340	original_scaffold_1417	-1
evm.TU.scaffold_1417.9	79901	83728	original_scaffold_1417	1
evm.TU.scaffold_141.7_evm.TU.scaffold_141.8	52516890	52541795	chr6	-1
evm.TU.scaffold_1419.1	32266371	32269241	chr4	1
evm.TU.scaffold_141.9	52563043	52571363	chr6	1
evm.TU.scaffold_1419.6	32496176	32536285	chr4	1
evm.TU.scaffold_1419.7	32577197	32579921	chr4	1
evm.TU.scaffold_1421.1	21101	21894	original_scaffold_1421	-1
evm.TU.scaffold_1423.10	11099578	11100152	chr5	-1
evm.TU.scaffold_1423.1	11445977	11463220	chr5	-1
evm.TU.scaffold_1423.2	11400627	11411866	chr5	-1
evm.TU.scaffold_1423.3	11242877	11389907	chr5	-1
evm.TU.scaffold_1423.4	11230183	11235652	chr5	1
evm.TU.scaffold_1423.5	11203691	11206548	chr5	-1
evm.TU.scaffold_1423.6	11178889	11179401	chr5	1
evm.TU.scaffold_1423.7	11161132	11176724	chr5	1
evm.TU.scaffold_1423.8	11134670	11145665	chr5	-1
evm.TU.scaffold_1423.9	11106980	11116912	chr5	-1
evm.TU.scaffold_1424.2	63080204	63082427	chr1	-1
evm.TU.scaffold_14.2	72573	75371	fragScaff_scaffold_14	1
evm.TU.scaffold_1431.1	36338716	36342784	chr10	-1
evm.TU.scaffold_1431.2	36390066	36392520	chr10	-1
evm.TU.scaffold_1431.3	36393190	36394737	chr10	-1
evm.TU.scaffold_1431.4	36436303	36441922	chr10	-1
evm.TU.scaffold_1431.5	36445112	36450082	chr10	1
evm.TU.scaffold_1431.6	36461841	36487504	chr10	-1
evm.TU.scaffold_143.1	73350324	73350500	chr9	-1
evm.TU.scaffold_1431.7	36516867	36518275	chr10	-1
evm.TU.scaffold_143.2	73349681	73350013	chr9	-1
evm.TU.scaffold_1433.1	5644	6829	original_scaffold_1433	1
evm.TU.scaffold_143.3	73338038	73342463	chr9	-1
evm.TU.scaffold_1434.1	91020367	91021959	chr3	1
evm.TU.scaffold_1434.2	90947357	90993351	chr3	-1
evm.TU.scaffold_1434.3	90938666	90944012	chr3	1
evm.TU.scaffold_1434.4	90675558	90675923	chr3	-1
evm.TU.scaffold_1434.5	90628172	90675446	chr3	-1
evm.TU.scaffold_1434.6	90622989	90623272	chr3	-1
evm.TU.scaffold_143.4	73150257	73159503	chr9	1
evm.TU.scaffold_143.5	73095233	73097082	chr9	1
evm.TU.scaffold_1436.1	14069385	14076732	chr5	-1
evm.TU.scaffold_143.6	73035296	73095183	chr9	1
evm.TU.scaffold_1437.2	50307750	50333833	chr1	1
evm.TU.scaffold_1437.3	50236266	50240166	chr1	-1
evm.TU.scaffold_1437.4	50223084	50225499	chr1	1
evm.TU.scaffold_1437.5	50147851	50149145	chr1	1
evm.TU.scaffold_1437.6	50106129	50110225	chr1	1
evm.TU.scaffold_1437.7	50093647	50098044	chr1	1
evm.TU.scaffold_1437.8	50011854	50012013	chr1	1
evm.TU.scaffold_1438.10	11794414	11835690	chr5	1
evm.TU.scaffold_1438.11	11851130	11874556	chr5	1
evm.TU.scaffold_1438.1	11529363	11537508	chr5	-1
evm.TU.scaffold_1438.12	11886718	11888906	chr5	-1
evm.TU.scaffold_1438.2	11557197	11558569	chr5	1
evm.TU.scaffold_1438.3	11568567	11584518	chr5	-1
evm.TU.scaffold_1438.4	11584537	11584805	chr5	-1
evm.TU.scaffold_1438.5	11668426	11671016	chr5	-1
evm.TU.scaffold_1438.6	11671025	11671576	chr5	-1
evm.TU.scaffold_1438.7	11671718	11673825	chr5	-1
evm.TU.scaffold_1438.8	11695222	11704318	chr5	-1
evm.TU.scaffold_1438.9	11788683	11791973	chr5	1
evm.TU.scaffold_1440.2	52776	53373	original_scaffold_1440	-1
evm.TU.scaffold_1440.3	117820	119374	original_scaffold_1440	1
evm.TU.scaffold_1440.4	119438	121264	original_scaffold_1440	1
evm.TU.scaffold_144.10	25089432	25117322	chr4	-1
evm.TU.scaffold_144.1	25973301	25973579	chr4	1
evm.TU.scaffold_144.2	25825532	25825777	chr4	-1
evm.TU.scaffold_1443.10	50659009	50659806	chr8	-1
evm.TU.scaffold_1443.11	50654319	50654951	chr8	-1
evm.TU.scaffold_1443.12	50653184	50653436	chr8	-1
evm.TU.scaffold_1443.1	51328815	51329167	chr8	1
evm.TU.scaffold_144.3	25824872	25825249	chr4	-1
evm.TU.scaffold_1443.3	51083776	51084084	chr8	-1
evm.TU.scaffold_1443.4	50999567	51014964	chr8	-1
evm.TU.scaffold_1443.5	50912915	50980182	chr8	1
evm.TU.scaffold_1443.6	50822998	50832910	chr8	-1
evm.TU.scaffold_1443.7	50753329	50755420	chr8	1
evm.TU.scaffold_1443.8	50719070	50720278	chr8	-1
evm.TU.scaffold_1443.9	50663223	50673570	chr8	-1
evm.TU.scaffold_144.4	25632114	25633959	chr4	1
evm.TU.scaffold_1444.3	30426795	30427433	chr12	1
evm.TU.scaffold_1445.2	55382	59951	original_scaffold_1445	-1
evm.TU.scaffold_144.6	25570733	25570939	chr4	1
evm.TU.scaffold_1447.13	45029477	45030625	chr1	-1
evm.TU.scaffold_1447.14	45001461	45003329	chr1	-1
evm.TU.scaffold_1447.1	45343295	45355712	chr1	1
evm.TU.scaffold_1447.15	44990451	45001459	chr1	-1
evm.TU.scaffold_1447.16	44964907	44972975	chr1	-1
evm.TU.scaffold_1447.17	44944773	44952262	chr1	-1
evm.TU.scaffold_1447.18	44920308	44920547	chr1	-1
evm.TU.scaffold_1447.19	44806076	44918370	chr1	1
evm.TU.scaffold_1447.21_evm.TU.scaffold_1447.24	44674327	44735341	chr1	-1
evm.TU.scaffold_144.7	25435180	25454287	chr4	-1
evm.TU.scaffold_1447.25	44620930	44627927	chr1	1
evm.TU.scaffold_1447.26	44578016	44578267	chr1	1
evm.TU.scaffold_1447.27	44571386	44577762	chr1	1
evm.TU.scaffold_1447.28	44567789	44568022	chr1	1
evm.TU.scaffold_1447.29	44539654	44566230	chr1	1
evm.TU.scaffold_1447.30	44535379	44536007	chr1	1
evm.TU.scaffold_1447.8	45114313	45114840	chr1	-1
evm.TU.scaffold_1447.9	45112057	45114242	chr1	-1
evm.TU.scaffold_1448.13	48260608	48269477	chr1	-1
evm.TU.scaffold_1448.14	48302875	48305082	chr1	-1
evm.TU.scaffold_1448.16	48358960	48359166	chr1	1
evm.TU.scaffold_144.8	25424559	25427533	chr4	1
evm.TU.scaffold_1448.3	48103563	48104892	chr1	1
evm.TU.scaffold_1448.4	48118802	48124455	chr1	1
evm.TU.scaffold_1448.6	48149093	48149402	chr1	-1
evm.TU.scaffold_1448.7	48169376	48173549	chr1	1
evm.TU.scaffold_1449.10	70097915	70098717	chr8	-1
evm.TU.scaffold_1449.11	70100172	70102857	chr8	-1
evm.TU.scaffold_1449.13	70111730	70115282	chr8	-1
evm.TU.scaffold_1449.14	70120917	70123348	chr8	1
evm.TU.scaffold_1449.15	70125982	70130196	chr8	1
evm.TU.scaffold_1449.16	70131637	70150048	chr8	1
evm.TU.scaffold_1449.1	69959774	69960863	chr8	-1
evm.TU.scaffold_1449.18	70160931	70167031	chr8	1
evm.TU.scaffold_1449.19	70172967	70180072	chr8	-1
evm.TU.scaffold_1449.20	70189597	70190566	chr8	-1
evm.TU.scaffold_1449.21	70200193	70209501	chr8	1
evm.TU.scaffold_1449.22	70210457	70222475	chr8	-1
evm.TU.scaffold_1449.23_evm.TU.scaffold_1449.24	70249867	70266883	chr8	-1
evm.TU.scaffold_144.9	25118296	25131544	chr4	-1
evm.TU.scaffold_1449.25	70277347	70284239	chr8	-1
evm.TU.scaffold_1449.26_evm.TU.scaffold_1449.27	70295831	70298175	chr8	1
evm.TU.scaffold_1449.2	70000295	70001026	chr8	1
evm.TU.scaffold_1449.28	70311981	70325339	chr8	-1
evm.TU.scaffold_1449.29	70339833	70345119	chr8	-1
evm.TU.scaffold_1449.30	70345218	70345825	chr8	-1
evm.TU.scaffold_1449.31	70363278	70368817	chr8	1
evm.TU.scaffold_1449.32	70373881	70382479	chr8	1
evm.TU.scaffold_1449.33	70397556	70398530	chr8	1
evm.TU.scaffold_1449.34	70415381	70416937	chr8	-1
evm.TU.scaffold_1449.35	70451534	70453736	chr8	1
evm.TU.scaffold_1449.36	70469335	70472113	chr8	1
evm.TU.scaffold_1449.3	70001032	70004878	chr8	1
evm.TU.scaffold_1449.38	70482890	70483529	chr8	-1
evm.TU.scaffold_1449.39	70486800	70489811	chr8	1
evm.TU.scaffold_1449.40	70494465	70501463	chr8	-1
evm.TU.scaffold_1449.42	70554189	70568920	chr8	-1
evm.TU.scaffold_1449.43	70570626	70570970	chr8	1
evm.TU.scaffold_1449.4	70004913	70008306	chr8	1
evm.TU.scaffold_1449.50	70654886	70661793	chr8	1
evm.TU.scaffold_1449.52	70670156	70676678	chr8	-1
evm.TU.scaffold_1449.53	70681824	70682644	chr8	-1
evm.TU.scaffold_1449.58	70709694	70723308	chr8	1
evm.TU.scaffold_1449.62	70746600	70750406	chr8	1
evm.TU.scaffold_1449.6	70038853	70050886	chr8	-1
evm.TU.scaffold_1449.67	70803679	70806070	chr8	-1
evm.TU.scaffold_1449.68	70806956	70807368	chr8	1
evm.TU.scaffold_1449.70	70835276	70838517	chr8	1
evm.TU.scaffold_1449.7	70059007	70059334	chr8	1
evm.TU.scaffold_1449.8	70079918	70081989	chr8	1
evm.TU.scaffold_1449.9	70085716	70091132	chr8	-1
evm.TU.scaffold_1450.1	58166737	58168254	chr9	-1
evm.TU.scaffold_1450.16	57337981	57340163	chr9	-1
evm.TU.scaffold_1450.2	58149303	58158416	chr9	-1
evm.TU.scaffold_1450.3	58125755	58128822	chr9	-1
evm.TU.scaffold_1450.4	58119425	58123495	chr9	1
evm.TU.scaffold_1450.7	58070197	58073563	chr9	-1
evm.TU.scaffold_1450.9	57852952	57886203	chr9	-1
evm.TU.scaffold_145.11	49198486	49199956	chr10	-1
evm.TU.scaffold_1451.2	31856	32272	original_scaffold_1451	1
evm.TU.scaffold_145.14	49050826	49052862	chr10	1
evm.TU.scaffold_145.1	49340175	49361329	chr10	1
evm.TU.scaffold_145.16	48906202	48931630	chr10	1
evm.TU.scaffold_1452.12	42721264	42722412	chr4	-1
evm.TU.scaffold_1454.2	30790100	30792248	chr4	1
evm.TU.scaffold_1455.10	2396648	2398075	chr10	-1
evm.TU.scaffold_1455.11	2404203	2415112	chr10	-1
evm.TU.scaffold_1455.12	2419570	2421358	chr10	1
evm.TU.scaffold_1455.1	2287590	2294046	chr10	1
evm.TU.scaffold_1455.14	2440278	2450559	chr10	-1
evm.TU.scaffold_1455.15	2460890	2466521	chr10	-1
